InvoiceGlobalId,cluster
4099_1274944,4
4099_1274945,6
4099_1274946,5
4099_1274947,2
4099_1274948,0
4099_1274950,4
4099_1274951,2
4099_1274952,4
4099_1274953,7
4099_1274954,4
4099_1274956,4
4099_1274957,4
4099_1274958,0
4099_1274959,4
4099_1274961,6
4099_1274962,2
4099_1274963,4
4099_1274964,0
4099_1274965,4
4099_1274966,0
4099_1274969,4
4099_1274970,2
4099_1274971,0
4099_1274972,2
4099_1274973,4
4099_1274974,4
4099_1274975,4
4099_1274976,4
4099_1274977,4
4099_1274978,2
4099_1274979,0
4099_1274980,0
4099_1274984,0
4099_1274985,0
4099_1274986,5
4099_1274990,4
4099_1274991,4
4099_1274994,0
4099_1274998,4
4099_1274999,4
4099_1275000,2
4099_1275001,0
4099_1275004,6
4099_1275005,4
4099_1275006,1
4099_1275007,2
4099_1275010,4
4099_1275011,7
4099_1275012,0
4099_1275013,6
4099_1275014,4
4099_1275015,4
4099_1275016,0
4099_1275017,0
4099_1275018,0
4099_1275019,0
4099_1275020,6
4099_1275021,6
4099_1275023,6
4099_1275024,0
4099_1275025,0
4099_1275027,4
4099_1275028,4
4099_1275029,4
4099_1275030,4
4099_1275031,4
4099_1275032,4
4099_1275033,4
4099_1275037,0
4099_1275044,4
4099_1275051,7
4099_1275052,4
4099_1275053,4
4099_1275054,0
4099_1275056,0
4099_1275061,1
4099_1275063,0
4099_1275064,6
4099_1275065,6
4099_1275067,0
4099_1275068,0
4099_1275069,0
4099_1275070,6
4099_1275071,7
4099_1275077,0
4099_1275078,4
4099_1275079,0
4099_1275080,0
4099_1275082,5
4099_1275083,4
4099_1275085,4
4099_1275086,0
4099_1275088,4
4099_1275089,0
4099_1275091,6
4099_1275092,5
4099_1275094,0
4099_1275096,4
4099_1275097,0
4099_1275098,4
4099_1275099,0
4099_1275101,0
4099_1275102,0
4099_1275103,6
4099_1275104,4
4099_1275105,4
4099_1275107,0
4099_1275108,4
4099_1275109,4
4099_1275110,0
4099_1275111,3
4099_1275112,0
4099_1275113,0
4099_1275115,4
4099_1275116,0
4099_1275117,5
4099_1275118,7
4099_1275119,0
4099_1275120,0
4099_1275125,4
4099_1275127,4
4099_1275128,0
4099_1275129,4
4099_1275133,0
4099_1275137,0
4099_1275138,0
4099_1275139,4
4099_1275140,4
4099_1275143,0
4099_1275144,0
4099_1275146,0
4099_1275147,0
4099_1275149,0
4099_1275150,0
4099_1275151,4
4099_1275152,5
4099_1275153,0
4099_1275154,4
4099_1275155,4
4099_1275156,4
4099_1275157,0
4099_1275159,4
4099_1275160,4
4099_1275161,4
4099_1275162,0
4099_1275164,4
4099_1275165,5
4099_1275166,0
4099_1275168,4
4099_1275169,6
4099_1275170,6
4099_1275172,0
4099_1275177,4
4099_1275178,4
4099_1275179,4
4099_1275180,0
4099_1275181,6
4099_1275183,4
4099_1275184,3
4099_1275185,7
4099_1275186,4
4099_1275187,0
4099_1275189,7
4099_1275190,0
4099_1275191,0
4099_1275192,7
4099_1275193,4
4099_1275194,4
4099_1275195,6
4099_1275196,4
4099_1275197,2
4099_1275198,4
4099_1275199,4
4099_1275200,4
4099_1275201,4
4099_1275202,0
4099_1275204,0
4099_1275205,4
4099_1275206,7
4099_1275210,0
4099_1275211,4
4099_1275212,7
4099_1275213,0
4099_1275214,4
4099_1275215,6
4099_1275216,0
4099_1275218,6
4099_1275219,7
4099_1275220,4
4099_1275222,0
4099_1275223,5
4099_1275224,4
4099_1275225,4
4099_1275226,4
4099_1275227,0
4099_1275229,0
4099_1275230,7
4099_1275231,6
4099_1275233,5
4099_1275234,0
4099_1275235,0
4099_1275236,0
4099_1275237,4
4099_1275238,0
4099_1275239,0
4099_1275240,0
4099_1275241,4
4099_1275242,4
4099_1275243,4
4099_1275244,0
4099_1275246,6
4099_1275248,4
4099_1275249,1
4099_1275250,6
4099_1275251,0
4099_1275252,4
4099_1275255,4
4099_1275257,0
4099_1275258,0
4099_1275259,0
4099_1275261,4
4099_1275263,4
4099_1275265,3
4099_1275266,5
4099_1275267,4
4099_1275268,4
4099_1275269,4
4099_1275270,0
4099_1275272,4
4099_1275274,6
4099_1275275,4
4099_1275276,6
4099_1275278,0
4099_1275279,4
4099_1275280,4
4099_1275281,4
4099_1275282,0
4099_1275283,4
4099_1275285,5
4099_1275286,4
4099_1275287,4
4099_1275289,4
4099_1275290,7
4099_1275291,4
4099_1275292,4
4099_1275293,0
4099_1275294,5
4099_1275295,5
4099_1275296,6
4099_1275298,4
4099_1275299,4
4099_1275300,3
4099_1275303,4
4099_1275304,0
4099_1275305,4
4099_1275307,4
4099_1275308,6
4099_1275309,0
4099_1275310,0
4099_1275311,4
4099_1275312,3
4099_1275313,4
4099_1275314,7
4099_1275315,0
4099_1275316,0
4099_1275317,4
4099_1275318,2
4099_1275319,4
4099_1275320,0
4099_1275321,6
4099_1275322,4
4099_1275323,6
4099_1275324,6
4099_1275325,0
4099_1275326,4
4099_1275327,4
4099_1275328,6
4099_1275329,0
4099_1275330,4
4099_1275332,0
4099_1275333,4
4099_1275334,4
4099_1275335,0
4099_1275337,5
4099_1275338,4
4099_1275341,6
4099_1275343,7
4099_1275344,3
4099_1275345,0
4099_1275350,4
4099_1275351,0
4099_1275352,0
4099_1275353,2
4099_1275354,4
4099_1275355,6
4099_1275356,0
4099_1275358,6
4099_1275359,0
4099_1275360,0
4099_1275361,4
4099_1275362,3
4099_1275363,7
4099_1275365,3
4099_1275366,4
4099_1275367,0
4099_1275368,2
4099_1275369,2
4099_1275370,0
4099_1275372,0
4099_1275373,3
4099_1275374,6
4099_1275376,0
4099_1275377,6
4099_1275378,4
4099_1275379,0
4099_1275381,6
4099_1275382,0
4099_1275384,0
4099_1275386,0
4099_1275387,4
4099_1275388,4
4099_1275390,4
4099_1275393,3
4099_1275394,4
4099_1275395,0
4099_1275396,7
4099_1275397,1
4099_1275399,7
4099_1275400,4
4099_1275401,0
4099_1275402,4
4099_1275404,0
4099_1275405,0
4099_1275406,0
4099_1275407,6
4099_1275408,4
4099_1275410,6
4099_1275412,0
4099_1275413,2
4099_1275414,0
4099_1275415,6
4099_1275417,0
4099_1275418,4
4099_1275419,4
4099_1275420,6
4099_1275421,0
4099_1275423,6
4099_1275424,5
4099_1275425,2
4099_1275426,4
4099_1275427,6
4099_1275428,6
4099_1275429,1
4099_1275430,6
4099_1275431,4
4099_1275432,2
4099_1275433,0
4099_1275435,2
4099_1275436,0
4099_1275437,0
4099_1275438,4
4099_1275439,2
4099_1275440,4
4099_1275441,2
4099_1275442,0
4099_1275443,6
4099_1275444,1
4099_1275445,0
4099_1275447,4
4099_1275448,4
4099_1275450,3
4099_1275451,4
4099_1275452,0
4099_1275453,4
4099_1275454,0
4099_1275455,0
4099_1275456,0
4099_1275457,4
4099_1275458,4
4099_1275459,0
4099_1275460,1
4099_1275461,0
4099_1275463,1
4099_1275464,0
4099_1275466,2
4099_1275467,0
4099_1275468,4
4099_1275469,6
4099_1275471,1
4099_1275472,4
4099_1275473,7
4099_1275474,2
4099_1275475,0
4099_1275476,2
4099_1275477,2
4099_1275478,4
4099_1275479,4
4099_1275480,0
4099_1275482,4
4099_1275483,0
4099_1275486,4
4099_1275487,4
4099_1275488,4
4099_1275489,0
4099_1275490,4
4099_1275491,6
4099_1275493,0
4099_1275494,0
4099_1275495,0
4099_1275496,4
4099_1275497,4
4099_1275499,0
4099_1275500,6
4099_1275501,0
4099_1275502,0
4099_1275505,0
4099_1275506,0
4099_1275507,4
4099_1275508,4
4099_1275509,4
4099_1275510,0
4099_1275512,4
4099_1275513,0
4099_1275515,4
4099_1275517,0
4099_1275518,6
4099_1275519,0
4099_1275523,0
4099_1275527,4
4099_1275532,4
4099_1275533,4
4099_1275536,6
4099_1275537,0
4099_1275540,0
4099_1275541,0
4099_1275542,0
4099_1275544,4
4099_1275548,4
4099_1275549,0
4099_1275551,0
4099_1275552,0
4099_1275553,3
4099_1275554,0
4099_1275558,0
4099_1275559,0
4099_1275561,4
4099_1275563,4
4099_1275564,0
4099_1275567,4
4099_1275568,0
4099_1275570,4
4099_1275571,0
4099_1275572,4
4099_1275573,0
4099_1275574,4
4099_1275575,7
